"FK_type_entreprise","FK_entreprise"
"id_categorie","lib_categorie"
"CAT001","Conserves"
"CAT002","Surgelés"
"CAT003","Emballages"
"CAT004","Boissons"
"CAT005","Sauces"
"CAT006","Entretien"
"id_commande","nom_commercial","nom_acheteur","nom_delivreur","nom_preparateur","date_creation_commande","date_preparation_commande","date_retrait_commande","FK_type_commande","FK_facture","FK_entreprise"
"FK_produit","FK_commande"
"login_compte","password_compte","id_user"
"id_entreprise","siret_entreprise","nom_entreprise","adresse","code_postal","ville","pays","telephone","mail","FK_type_entreprise"
"ENT001","65485215975345","FoodLand","6 Rue Georges et Mai Politzer","75012","Paris","France","987563214","contact@foodland.com",
"ENT002","30717862400010","ETABLISSEMENTS ROUX SARL","FRUILEG 620\n100 RUE D'AVIGNON\nCP 10645","94550","CHEVILLY LARUE","France","141730950","roux@ozfreres.fr","FR001"
"ENT003","83291876700019","LA POM' ROSE","81 RUE D'AGEN\nFRUILEG 50623","94550","CHEVILLY LARUE","France","149790152","pomrose@pomrose.fr","FR001"
"ENT004",,"FRITES DOREES","55-73 RUE BALAISE PASCAL","93600","AULNAY-SOUS-BOIS","France","148680303","fritesdorees@orange.fr","FR001"
"ENT005","313710303","CRETA-GEL","39-43 RUE DE LA POINTE","93100","MONTREUIL","France","148596159","contact@creta-gel.com","FR001"
"ENT006",,"EKIN","AULNAY SOUS BOIS","93600","AULNAY-SOUS-BOIS","France","148680303",,"FR001"
"ENT007","79458394800011","GLACIERE FOOD","123 RUE DE LA GLACIČRE","75013","PARIS","France",,,"CLI001"
"ENT008","75180018600015","SARL ORLEANS FOOD","57 RUE BEAUNIER","75014","PARIS","France",,,"CLI001"
"ENT009","48501625700019","EAT MEAT","76 B ROUTE DE LA RIENE","92100","BOULOGNE","France",,"kamel.fourti@gmail.com","CLI001"
"ENT010","79258163900020","LEIKA","CENTRE COMMERCIAL QUAIS D'IVRY 30 BD PAUL VAILLANT","94200","IVRY SUR SEINE","France","610180155",,"CLI001"
"ENT011","50893037700025","H M D","7 RUE FRANCISCO FERRER","93100","MONTREUIL","France","148594219",,"CLI001"
"ENT012","40276020100010","PLANET FOOD","138 AVENUE DU GÉNÉRAL LECLERC","75014","PARIS","France",,,"CLI001"
"ENT013","52394258900012","MIXTE","5 RUE THÉOPHILE GAUTIER","94120","MONTROUGE","France",,,"CLI001"
"ENT014","79928344500010","LE RELAIS DE VAUGIRARD SARL","125 RUE VAUGERARD","75015","PARIS","France",,,"CLI001"
"ENT015","51452488300014","CROCUS CAFE","24 RUE PASTEUR","94270","LE KREMLIN BICETRE","France","658168605","Crocuscafe.cc@gmail.com","CLI001"
"ENT016","81287746200026","NK ARCUEIL","CENTRE COMMERCIAL LA VACHE NOIRE PLACE DE LA VACHE","94110","ARCUEIL","France","663778709",,"CLI001"
"ENT017","804729507","SAS IFMS","39 AVENUE DE CLICHY","75017","PARIS","France","783051765","ifmsnabab@gmail.com","CLI001"
"ENT018","818074973","BUFALINI","401 RUE DE VAUGIRARD","75015","PARIS","France","148280630",,"CLI001"
"ENT019","82279232100017","YSLM","4 Place de l'Europe","94220","CHARENTON LE PONT","France","630860870",,"CLI001"
"ENT020","42337114500024","VINCENNES FOOD","20 Avenue de Paris","94300","VINCENNES","France",,,"CLI001"
"ENT021","79219478900014","N20 FOOD","63 AVENUE ARISTIDE BRIAND","92120","MONTROUGE","France",,,"CLI001"
"ENT022","840862809","LE PRESTIGE SARL","134, Grand Rue","92310","SEVRES","France","982482761","bjrad.mourad@yahoo.fr","CLI001"
"id_entrepr","siret_entrepri","nom_entreprise","adresse","code_","ville","pays","telephone","mail","FK_type_entreprise"
"id_facture","date_creation_facture","tva","FK_type_facture","FK_commande"
"id_ligne_commande","code_barre_produit","quantite_poids","prix_Unitaire_ligne_commande","TVA","FK_commande"
"id_produit","code_barre_produit","designation","prix_unitaire_produit","poids_quantite","TVA","FK_categorie"
"ART001","75325641785246","Petit Pois 250g","0.82","10","5.5","CAT001"
"ART002","95412365478522","Frites Alumettes 1kg","1.20","5","5.5","CAT002"
"ART003","115499089171798","Steak Haché 45 - 10kg","12.93","1","5.5","CAT002"
"ART004","135585812865074","Steak Haché 90 - 10kg","21.50","1","5.5","CAT002"
"ART005","155672536558350","Boites Pizza - 23cm - 50 pièces","15.32","1","20","CAT003"
"ART006","175759260251626","Boites Pizza - 45cm - 30 pièces","23.56","1","20","CAT003"
"ART007","195845983944902","Boites Burger Simple - 45 pièces","18.90","1","20","CAT003"
"ART008","215932707638178","Boites Burger Double - 30 pièces","24.36","1","20","CAT003"
"ART009","236019431331454","Gobelet Carton - 200 pièces","16.25","1","20","CAT003"
"ART010","256106155024730","Coca Cola 33cl - 24 pièces","12.34","1","5.5","CAT004"
"ART011","276192878718006","Fanta Orange 33cl - 24 pièces","13.20","1","5.5","CAT004"
"ART012","296279602411282","Jus Pomme 50cl - 12 pièces","8.21","1","5.5","CAT004"
"ART013","316366326104558","Jus d'Orange - 12 pièces","9.96","1","5.5","CAT004"
"ART014","336453049797834","Haricot Blanc 500g","1.12","10","5.5","CAT001"
"ART015","356539773491110","Pois Chiche 750g","0.95","10","5.5","CAT001"
"ART016","376626497184386","ALGERIENNE NAWHAL'S 950ML","3.20","5","5.5","CAT005"
"ART017","396713220877662","AMERICAINE NAWHALS 950ML","3.22","5","5.5","CAT005"
"ART018","416799944570938","ANDALOUSE NAWHAL'S 950 ML","3.18","5","5.5","CAT005"
"ART019","436886668264214","BARBECUE NAWHAL'S 950ML","3.26","5","5.5","CAT005"
"ART020","456973391957490","BIGGY BURGER NAWHAL'S 950 ML","3.33","5","5.5","CAT005"
"ART021","477060115650766","DETERGENT CONCENTRE ALIMENTAIRE 1L","27.32","1","20","CAT006"
"ART022","497146839344042","ESSUIE TOUT 2 ROULEAUX 48","17.21","1","20","CAT006"
"ART023","517233563037318","JAVEL 5L","4.75","1","20","CAT006"
"ART024","537320286730594","LIQUIDE VAISSELLE - DETERGENT PLONGE MAGISTER 5L","13.21","1","20","CAT006"
"ART025","557407010423870","LOTION MAIN 5L","8.26","1","20","CAT006"
"id_produit","code_barre_produit","designation","prix_unitaire_produit","poids_quantite","TVA","FK_categorie"
"id_role","lib_role"
"role001","administrator"
"role002","gerant"
"role003","acheteur"
"id_type_commande","lib_type_commande"
"TCCLI001","Commande Client"
"TCFR001","Commande Fournisseur"
"id_type_entreprise","lib_type_entreprise"
"CLI001","Client"
"FR001","Fournisseur"
"id_type_facture","lib_type_facture"
"TFCLI001","Facture Client"
"TFFR001","Facture Fournisseur"
"id_user","nom_user","prenom_user","adresse","code_postal","ville","tel_user","mail_user","FK_role","login_compte","password_compte"
"user001","Doe","John","1 rue de la ville","12345","City ISland","0123456789","john.doe@foodland.com","role001","admin","admin"
